                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5654,                 4.4959,                 2.4288,                0.03306,                0.05487,                0.01024,                0.00272,                 2.6236,                 22.071,                  2.814,             0.00040923,             0.00040923,             0.00040923
                      2,                 2.3037,                 3.4437,                 2.1957,                0.31039,                0.10912,                0.03941,                0.01274,                 2.6532,                 10.448,                 2.9726,             0.00082385,             0.00082385,             0.00082385
                      3,                  2.326,                 3.2602,                 2.2718,                0.04316,                 0.0627,                0.01479,                0.00463,                 3.3868,                 15.234,                 3.9383,              0.0012364,              0.0012364,              0.0012364
                      4,                 2.3079,                  3.238,                 2.2568,                0.14977,                0.03758,                0.02143,                0.00685,                 3.2111,                  4.422,                 3.2984,              0.0012407,              0.0012407,              0.0012407
                      5,                 2.2765,                 3.1212,                 2.2376,                0.13387,                0.18567,                0.07337,                0.02308,                 2.4894,                 3.1433,                 2.4919,              0.0012376,              0.0012376,              0.0012376
                      6,                 2.2091,                  3.055,                 2.1667,                0.09293,                0.11072,                0.04736,                 0.0136,                 2.4251,                 3.3803,                 2.6229,              0.0012345,              0.0012345,              0.0012345
                      7,                 2.2302,                 2.9873,                 2.2441,                0.13274,                0.23749,                0.09207,                0.03316,                 2.3483,                 3.2451,                  2.411,              0.0012314,              0.0012314,              0.0012314
                      8,                  2.185,                 2.9448,                  2.109,                0.15384,                0.25224,                0.12334,                0.03972,                  2.316,                  2.798,                 2.3688,              0.0012283,              0.0012283,              0.0012283
                      9,                 2.1956,                 2.9285,                 2.1613,                0.37057,                0.19438,                0.10237,                0.03591,                 2.2836,                 2.9278,                 2.4144,              0.0012252,              0.0012252,              0.0012252
                     10,                 2.1441,                 2.8133,                 2.1015,                0.15797,                0.23499,                0.10161,                0.03556,                 2.3089,                 2.8266,                 2.3662,              0.0012222,              0.0012222,              0.0012222
                     11,                 2.1346,                 2.7984,                 2.0838,                0.15565,                0.25615,                0.11961,                0.04298,                 2.2701,                 2.6351,                 2.3325,              0.0012191,              0.0012191,              0.0012191
                     12,                 2.0983,                 2.7922,                 2.0903,                0.14912,                0.24593,                0.11199,                0.04069,                 2.1932,                 2.9402,                  2.371,               0.001216,               0.001216,               0.001216
                     13,                 2.0781,                 2.7567,                 2.0646,                0.19742,                 0.2754,                0.12841,                0.04463,                   2.35,                 2.8711,                 2.4692,              0.0012129,              0.0012129,              0.0012129
                     14,                 2.0646,                 2.6772,                 2.0526,                0.17262,                0.29233,                0.12716,                0.04591,                 2.2334,                 2.7122,                 2.3853,              0.0012098,              0.0012098,              0.0012098
                     15,                 2.0479,                 2.6472,                 2.0338,                0.37165,                0.26024,                0.12027,                0.03705,                 2.3281,                 2.8136,                  2.468,              0.0012067,              0.0012067,              0.0012067
                     16,                 2.0493,                 2.6892,                 2.0335,                0.19128,                0.30646,                0.14306,                0.05165,                 2.2666,                 2.6726,                 2.3809,              0.0012036,              0.0012036,              0.0012036
